method,day_index,hour,prices_actual,prices_forecast,prices_bias_corrected,actual_demand,forecast_demand,demand_bias_corrected,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_step_system,day
bias_corrected_det,249,20,65.31,75.34217814164835,75.3528284332967,37.82,34.7373046385989,34.7438400471978,0.736842105263158,0.0,10.7825,23.9548046385989,0.0,704.2050750000001,-1564.4882909468943,249
bias_corrected_det,249,21,62.57,77.34571273131868,77.35472520263737,36.82,35.75434600049451,35.760736870989014,0.4736842105263159,0.0,10.7825,24.97184600049451,0.0,674.661025,-1562.4884042509414,249
bias_corrected_det,249,22,57.79,72.26460266483517,72.28088239967033,33.85,33.6798465631044,33.68786609620879,0.21052631578947378,0.0,8.626000000000005,25.053846563104393,0.0,498.49654000000027,-1447.8617928818028,249
bias_corrected_det,249,23,53.67,69.4692314403022,69.46923144060439,30.99,31.606758689697802,31.606758689395605,0.0,0.0,0.0,31.606758689697802,0.0,0.0,-1696.334738876081,249
bias_corrected_det,250,0,40.24,66.64321625313187,66.66121817626373,24.56,27.706925889065932,27.710073278131865,0.5,0.0,0.0,27.706925889065932,0.0,0.0,-1114.9266977760133,250
bias_corrected_det,250,1,35.32,66.20920582096153,66.28191252192306,23.25,25.939874517032965,25.939949284065932,0.5,0.0,0.0,25.939874517032965,0.0,0.0,-916.1963679416043,250
bias_corrected_det,250,2,34.27,61.125584396703296,61.16956193340659,22.51,25.65685505381868,25.680028257637364,0.5,10.7825,0.0,36.43935505381868,0.0,-369.51627500000006,-1248.7766976943662,250
bias_corrected_det,250,3,34.3,63.81541926563187,63.868486961263734,22.27,25.06849840285714,25.073792935714284,0.7375,1.134999999999996,0.0,26.203498402857136,0.0,-38.93049999999986,-898.7799952179997,250
bias_corrected_det,250,4,34.05,63.221769680219786,63.22203381043957,22.5,25.46582750510989,25.47551860021978,0.7625,10.7825,0.0,36.248327505109884,0.0,-367.144125,-1234.2555515489914,250
bias_corrected_det,250,5,36.9,68.88637278376373,68.95499783752747,24.33,25.874626587142856,25.874837494285714,1.0,0.0,0.0,25.874626587142856,0.0,0.0,-954.7737210655714,250
bias_corrected_det,250,6,42.73,72.98665195269231,72.98779775538462,28.84,29.656760326153844,29.66225483230769,1.0,0.0,0.0,29.656760326153844,0.0,0.0,-1267.2333687365538,250
bias_corrected_det,250,7,48.08,71.34477748667582,71.33025451335165,33.44,34.28755283788462,34.266169525769236,1.0,0.0,0.0,34.28755283788462,0.0,0.0,-1648.5455404454924,250
bias_corrected_det,250,8,49.51,92.91638819027473,92.92871176054946,38.36,39.23674953134615,39.2566017926923,1.0,0.0,10.7825,28.45424953134615,0.0,533.841575,-1408.7698942969478,250
bias_corrected_det,250,9,50.37,81.25713645211538,81.27011716423075,39.3,39.04631105505494,39.04724918010989,0.736842105263158,0.0,10.7825,28.263811055054944,0.0,543.114525,-1423.6481628431175,250
bias_corrected_det,250,10,49.08,71.16977305942308,71.13030969884616,39.27,39.15006143832417,39.11429456664835,0.4736842105263159,0.0,0.0,39.15006143832417,0.0,0.0,-1921.4850153929503,250
bias_corrected_det,250,11,46.86,66.96190045403847,66.90983186807694,39.15,39.128701886208795,39.11236421241759,0.4736842105263159,0.0,0.0,39.128701886208795,0.0,0.0,-1833.5709703877442,250
bias_corrected_det,250,12,43.3,65.70174524695055,65.70458413390111,37.35,37.251216843076925,37.26423523615385,0.4736842105263159,10.7825,0.0,48.033716843076924,0.0,-466.88225,-2079.8599393052305,250
bias_corrected_det,250,13,43.88,61.055317858406596,60.96151571681319,37.45,36.538077434368134,36.543514418736265,0.7111842105263159,10.7825,0.0,47.32057743436813,0.0,-473.13610000000006,-2076.426937820074,250
bias_corrected_det,250,14,42.72,69.29586007593407,69.31248490186815,38.62,37.37845656126374,37.386800132527476,0.9486842105263158,0.0,0.0,37.37845656126374,0.0,0.0,-1596.8076642971869,250
bias_corrected_det,250,15,43.28,70.45268876005495,70.4604885001099,39.28,38.23321828815934,38.26089267631868,0.9486842105263158,0.0,0.0,38.23321828815934,0.0,0.0,-1654.7336875115363,250
bias_corrected_det,250,16,46.53,73.04665226681318,72.97836704362636,39.68,38.48329982986264,38.520947179725276,0.9486842105263158,0.0,6.5234125,31.95988732986264,0.0,303.53438362500003,-1487.0935574585087,250
bias_corrected_det,250,17,46.97,70.58370329634614,70.5854065926923,39.26,38.25922181689561,38.28154752379122,0.7894736842105263,0.0,0.0,38.25922181689561,0.0,0.0,-1797.0356487395868,250
bias_corrected_det,250,18,53.52,70.26624290667581,70.26835538335163,38.8,38.13372645593407,38.139377351868134,0.7894736842105263,0.0,0.0,38.13372645593407,0.0,0.0,-2040.9170399215914,250
bias_corrected_det,250,19,60.78,99.10492068472527,99.11734136945054,39.27,36.21727863873626,36.22131564747252,0.7894736842105263,0.0,10.7825,25.43477863873626,0.0,655.36035,-1545.92584566239,250
bias_corrected_det,250,20,60.7,91.75585087164835,91.7665011632967,39.31,38.4525354085989,38.4590708171978,0.5263157894736842,0.0,10.7825,27.6700354085989,0.0,654.4977500000001,-1679.5711493019533,250
bias_corrected_det,250,21,53.52,79.10242361131868,79.11143608263737,36.75,36.942144300494505,36.94853517098901,0.2631578947368421,0.0,10.7825,26.159644300494506,0.0,577.0794000000001,-1400.064162962466,250
bias_corrected_det,250,22,47.61,72.10800244483517,72.12428217967033,33.39,33.452701433104394,33.46072096620879,0.0,0.0,0.0,33.452701433104394,0.0,0.0,-1592.6831152301002,250
bias_corrected_det,250,23,43.27,67.49575551030219,67.49575551060438,30.21,30.195470509697802,30.195470509395605,0.0,0.0,0.0,30.195470509697802,0.0,0.0,-1306.558008954624,250
bias_corrected_det,251,0,49.26,62.17456691313187,62.19256883626374,27.59,27.317641899065933,27.320789288131866,0.5,0.0,8.706868750000003,18.610773149065928,0.0,428.90035462500015,-916.7666853229875,251
bias_corrected_det,251,1,47.2,58.89819786096154,58.97090456192308,26.21,25.754727297032968,25.754802064065935,0.2874999999999999,0.0,0.0,25.754727297032968,0.0,0.0,-1215.6231284199562,251
bias_corrected_det,251,2,46.6,55.7950959367033,55.83907347340659,25.47,25.37605174381868,25.399224947637364,0.2874999999999999,10.7825,0.0,36.15855174381868,0.0,-502.46450000000004,-1684.9885112619504,251
bias_corrected_det,251,3,46.53,53.55995487563187,53.613022571263734,25.15,24.940745112857144,24.946039645714286,0.5249999999999999,10.7825,0.0,35.72324511285714,0.0,-501.70972500000005,-1662.2025951012429,251
bias_corrected_det,251,4,46.94,54.612269550219786,54.61253368043957,25.36,25.27140886510989,25.28109996021978,0.7625,10.7825,0.0,36.05390886510989,0.0,-506.13055,-1692.3704821282581,251
